cat /proc/mounts for rzansel, node rzansel61
lsfmaster:/var/lib/lsf /var/lib/lsf nfs rw,nosuid,relatime,vers=3,rsize=1048576,wsize=1048576,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=192.168.64.59,mountvers=3,mountport=20048,mountproto=tcp,local_lock=none,addr=192.168.64.59 0 0
izrz-nfs1-nfs.llnl.gov:/collab_repo_ng /collab/repo nfs ro,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.11,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.11 0 0
rz-nfs2-nfs.llnl.gov:/rz_g0 /g/g0 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
cfhost:/usr/tce /usr/tce nfs ro,nosuid,relatime,vers=3,rsize=1048576,wsize=1048576,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=192.168.64.59,mountvers=3,mountport=20048,mountproto=tcp,local_lock=none,addr=192.168.64.59 0 0
cfhost:/usr/tcetmp /usr/tcetmp nfs rw,nosuid,relatime,vers=3,rsize=1048576,wsize=1048576,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=192.168.64.59,mountvers=3,mountport=20048,mountproto=tcp,local_lock=none,addr=192.168.64.59 0 0
pepe1-nfs.llnl.gov:/rz_tmp2 /nfs/tmp2 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.1,mountvers=3,mountport=4048,mountproto=tcp,local_lock=none,addr=134.9.13.1 0 0
rz-nfs2-nfs.llnl.gov:/rz_g10 /g/g10 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g11 /g/g11 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g12 /g/g12 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g13 /g/g13 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g14 /g/g14 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g15 /g/g15 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g16 /g/g16 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g17 /g/g17 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g18 /g/g18 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g19 /g/g19 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g20 /g/g20 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g21 /g/g21 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g22 /g/g22 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g23 /g/g23 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g24 /g/g24 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_g90 /g/g90 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g91 /g/g91 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g92 /g/g92 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g99 /g/g99 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs1-nfs.llnl.gov:/rz_dvstmp /nfs/dvstmp nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_dnta /usr/dnta nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_dvsprod /usr/dvsprod nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_gapps /usr/gapps nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_gdata /usr/gdata nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_mic_bdiv /usr/mic/bdiv nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_mic_dvsviz /usr/mic/dvsviz nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
pepe2-nfs.llnl.gov:/rz_wsc /usr/workspace/wsrzc nfs rw,nosuid,relatime,vers=3,rsize=32768,wsize=32768,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.2,mountvers=3,mountport=4048,mountproto=tcp,local_lock=none,addr=134.9.13.2 0 0
pepe1-nfs.llnl.gov:/rz_wsd /usr/workspace/wsrzd nfs rw,nosuid,relatime,vers=3,rsize=32768,wsize=32768,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.1,mountvers=3,mountport=4048,mountproto=tcp,local_lock=none,addr=134.9.13.1 0 0
