cat /proc/mounts for rzansel, node rzslic8
pepe1-nfs.llnl.gov:/rz_wsd /usr/oldwsrzd nfs ro,nosuid,relatime,vers=3,rsize=32768,wsize=32768,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.1,mountvers=3,mountport=4048,mountproto=tcp,local_lock=none,addr=134.9.13.1 0 0
izrz-nfs1-nfs.llnl.gov:/collab_repo_ng /collab/repo nfs ro,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.11,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.11 0 0
pepe2-nfs.llnl.gov:/rz_sonar /usr/sonar nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.2,mountvers=3,mountport=4048,mountproto=tcp,local_lock=none,addr=134.9.13.2 0 0
rz-nfs2-nfs.llnl.gov:/rz_g0 /g/g0 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_tce/rzslic /usr/tce nfs ro,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
pepe1-nfs.llnl.gov:/rz_tmp2 /nfs/tmp2 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.1,mountvers=3,mountport=4048,mountproto=tcp,local_lock=none,addr=134.9.13.1 0 0
rz-nfs2-nfs.llnl.gov:/rz_g10 /g/g10 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g11 /g/g11 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g12 /g/g12 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g13 /g/g13 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g14 /g/g14 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g15 /g/g15 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g16 /g/g16 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g17 /g/g17 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g18 /g/g18 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g19 /g/g19 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g20 /g/g20 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g21 /g/g21 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g22 /g/g22 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs1-nfs.llnl.gov:/rz_g23 /g/g23 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.3,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.3 0 0
rz-nfs2-nfs.llnl.gov:/rz_g24 /g/g24 nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
